SpeciesName,NativeStatus,SpeciesCategory,SpeciesKingdom
Prunus ilicifolia,Native,Plant,Plant
Psaltriparus minimus,Native,Avian,Animal
Pseudacris hypochondriaca,Native,Amphibian,Animal
Quercus agrifolia,Native,Plant,Animal
Quiscalus mexicanus,Native,Avian,Animal
Rhus integrifolia,Native,Plant,Plant
Rhus ovata,Native,Plant,Plant
Rosa californica,Native,Plant,Plant
Salvia apiana,Native,Plant,Plant
Salvia leucophylla,Native,Plant,Plant
Salvia mellifera,Native,Plant,Plant
Sayornis nigricans,Native,Avian,Animal
Sayornis saya,Native,Avian,Animal
Sceloporus occidentalis,Native,Reptile,Animal
Sciurus griseus,Native,Mammal,Animal
Selasphorus sasin,Native,Avian,Animal
Setophaga coronata,Native,Avian,Animal
Sialia mexicana,Native,Avian,Animal
Spinus psaltria,Native,Avian,Animal
Stelgidopteryx serripennis,Native,Avian,Animal
Strymon melinus,Native,Insect,Animal
Sylvilagus audubonii,Native,Mammal,Animal
Thomomys bottae,Native,Mammal,Animal
Toxicodendron diversilobum,Native,Plant,Plant
Trifolium repens,Native,Plant,Plant
Tropaeolum majus,Native,Plant,Plant
Turdus migratorius,Native,Avian,Animal
Tyrannus verticalis,Native,Avian,Animal
Tyrannus vociferans,Native,Avian,Animal
Uta stansburiana,Native,Reptile,Animal
Vanessa atalanta,Native,Insect,Animal
Vanessa cardui,Native,Insect,Animal
Venegasia carpesioides,Native,Plant,Plant
Xanthium strumarium,Native,Plant,Plant
Xylocopa sonorina,Native,Insect,Animal
Zenaida macroura,Native,Avian,Animal
Zonotrichia leucophrys,Native,Avian,Animal
